Link Id, Lane Id, Travel Dir, Vehicle Id, Actuation Time On (s), Actuation Time Off (s), Vehicle Type Id, Vehicle Length (ft), FHWA Class, Speed (mi/h),Gap (ft), Headway (s), Queue Status, Downstream Turn Dir
45,1,EB,2,756.7,756.8,2,16.7,2,65.55,-1.000,0.000,NotInQueue,Through
45,1,EB,12,807,807.1,3,16.22,2,63.83,4815.690,50.300,NotInQueue,Through
45,1,EB,1,961.6,962.5,13,68.5,9,57.53,-1.000,154.600,NotInQueue,Through
45,1,EB,5,963.7,963.8,8,14.78,2,57.53,102.742,2.100,NotInQueue,Through
45,1,EB,6,965.2,965.8,12,55,8,57.53,112.743,1.500,NotInQueue,Through
45,1,EB,8,982.2,983,13,68.5,9,57.53,1383.680,17.000,NotInQueue,Through
45,1,EB,10,984.4,985.2,13,68.5,9,57.53,112.711,2.200,NotInQueue,Through
45,1,EB,14,986.4,986.6,7,19.31,3,57.53,102.742,2.000,NotInQueue,Through
45,1,EB,16,987.9,988.1,5,18.98,3,57.53,102.729,1.500,NotInQueue,Through
45,1,EB,18,989.3,989.5,4,16.4,3,57.53,102.739,1.400,NotInQueue,Through
45,1,EB,20,990.7,990.9,3,16.22,2,57.53,102.764,1.400,NotInQueue,Through
45,1,EB,23,992.1,992.3,3,16.22,2,57.53,102.749,1.400,NotInQueue,Through
45,1,EB,25,993.5,993.7,6,16.94,2,57.53,102.749,1.400,NotInQueue,Through
45,1,EB,34,995,995.1,3,16.22,2,57.53,102.755,1.500,NotInQueue,Through
45,1,EB,32,996.4,996.5,10,15.53,2,57.53,102.749,1.400,NotInQueue,Through
45,1,EB,35,997.8,998,4,16.4,3,57.53,102.751,1.400,NotInQueue,Through
45,1,EB,26,999.3,1000.1,13,68.5,9,57.53,112.905,1.500,NotInQueue,Through
45,1,EB,58,1001.3,1001.5,10,15.53,2,57.53,102.875,2.000,NotInQueue,Through
45,1,EB,28,1002.7,1003,5,18.98,3,57.53,102.868,1.400,NotInQueue,Through
45,1,EB,30,1004.2,1004.4,7,19.31,3,57.53,102.879,1.500,NotInQueue,Through
45,1,EB,38,1005.6,1005.8,3,16.22,2,57.53,102.878,1.400,NotInQueue,Through
45,1,EB,39,1007,1007.2,3,16.22,2,57.53,102.874,1.400,NotInQueue,Through
45,1,EB,72,1008.4,1008.6,3,16.22,2,57.53,102.874,1.400,NotInQueue,Through
45,1,EB,41,1010,1010.8,13,68.5,9,57.53,112.874,1.600,NotInQueue,Through
45,1,EB,64,1012,1012.2,7,19.31,3,57.52,102.859,2.000,NotInQueue,Through
45,1,EB,43,1013.5,1013.7,7,19.31,3,57.52,102.862,1.500,NotInQueue,Through
45,1,EB,45,1015,1015.7,12,55,8,57.52,112.870,1.500,NotInQueue,Through
45,1,EB,67,1016.9,1017.1,5,18.98,3,57.52,102.867,1.900,NotInQueue,Through
45,1,EB,48,1018.3,1018.5,3,16.22,2,57.51,102.840,1.400,NotInQueue,Through
45,1,EB,50,1019.7,1020,7,19.31,3,57.51,102.858,1.400,NotInQueue,Through
45,1,EB,52,1021.2,1021.4,7,19.31,3,57.51,102.854,1.500,NotInQueue,Through
45,1,EB,55,1047.8,1048,5,18.98,3,58.13,2221.776,26.600,NotInQueue,Through
45,1,EB,57,1049.2,1049.6,11,29,5,58.13,107.825,1.400,NotInQueue,Through
45,1,EB,61,1050.8,1051,10,15.53,2,58.13,103.789,1.600,NotInQueue,Through
45,1,EB,63,1052.2,1052.4,9,15.57,2,58.13,103.806,1.400,NotInQueue,Through
45,1,EB,68,1053.6,1053.8,1,14.57,2,58.13,103.797,1.400,NotInQueue,Through
45,1,EB,105,1055,1055.2,10,15.53,2,58.13,103.805,1.400,NotInQueue,Through
45,1,EB,107,1056.4,1056.6,7,19.31,3,58.13,103.798,1.400,NotInQueue,Through
45,1,EB,85,1057.8,1058.1,5,18.98,3,58.13,103.799,1.400,NotInQueue,Through
45,1,EB,70,1059.3,1059.5,2,16.7,2,58.13,103.801,1.500,NotInQueue,Through
45,1,EB,111,1060.7,1060.9,6,16.94,2,58.13,103.800,1.400,NotInQueue,Through
45,1,EB,74,1092.7,1093.6,13,68.5,9,57.53,2714.982,32.000,NotInQueue,Through
45,1,EB,76,1094.8,1095,5,18.98,3,57.53,102.742,2.100,NotInQueue,Through
45,1,EB,78,1096.3,1096.6,11,29,5,57.53,106.747,1.500,NotInQueue,Through
45,1,EB,80,1097.9,1098.6,12,55,8,57.53,112.906,1.600,NotInQueue,Through
45,1,EB,82,1099.8,1100,4,16.4,3,57.53,102.875,1.900,NotInQueue,Through
45,1,EB,88,1101.2,1101.4,4,16.4,3,57.53,102.881,1.400,NotInQueue,Through
45,1,EB,89,1102.7,1103,11,29,5,57.52,106.850,1.500,NotInQueue,Through
45,1,EB,91,1104.3,1104.6,11,29,5,57.52,106.867,1.600,NotInQueue,Through
45,1,EB,93,1105.9,1106.1,2,16.7,2,57.52,102.867,1.600,NotInQueue,Through
45,1,EB,94,1107.3,1107.5,5,18.98,3,57.52,102.870,1.400,NotInQueue,Through
